name,location,price_in_lakhs,area_in_sqft,bhk,has_rating
somu residency,"rose nagar, kovilambakkam",103.0,1218,3,0
featherlite vaikuntam,guduvancheri,75.0,1317,3,1
jeeva avenue,sithalapakkam,145.0,1045,3,0
sri smiley house,perambur,75.0,759,2,0
adhith enclave,"veeramani nagar, kovilambakkam",89.17,1158,3,0
"grand adore,new",madipakkam,122.0,1475,3,0
saroja murugesan apartments,"alwarthirunagar, valasaravakkam",124.0,1056,2,0
babu enclave,keelkattalai,93.79,1218,3,0
prabha homes blissful,"puzhuthivakkam, madipakkam",80.69,828,2,0
prabha homes,"puzhuthivakkam, madipakkam",84.91,877,2,0
prabha homes blissful,"puzhuthivakkam, madipakkam",98.56,904,2,0
prabha homes blissful,"puzhuthivakkam, madipakkam",85.33,828,2,0
"grand adore, new flat",madipakkam,112.00000000000001,1344,3,0
"gerugambakkam, chennai, chennai west",gerugambakkam,114.99999999999999,900,3,0
"mukesh flats,new flat",iyyappanthangal,69.95,1186,3,0
athish,"pudur, ambattur",60.0,930,2,0
dharman's divine,"sankarapuram, sithalapakkam",57.49,1045,2,0
coralbay,thiruvanmiyur,490.00000000000006,2598,4,0
new flat,"kallikuppam, ambattur",61.36,883,2,0
new flat,ambattur,62.85,904,2,0
new flat,ambattur,62.89,906,2,0
alankar horizon,east tambaram,83.17,1210,2,0
gandhi nagar,"kallikuppam, ambattur",74.0,1145,3,0
new flat,"kallikuppam, ambattur",61.35,881,2,0
orchid rr construction,old perungalathur,75.76,1456,3,0
"vgp selva nagar extension, velachery, chennai south","vgp selva nagar extension, velachery",58.0,895,2,0
new flat,ambattur,61.35,905,2,0
"svf thiru flats,ambattur chennai north","thiruvengada nagar, ambattur",85.0,1200,3,0
"svf lake view garden,chennai north","manikandapuram, thirumullaivoyal",42.0,971,2,0
dharman's divine,"nagalakshmi nagar, sithalapakkam",57.85,1045,2,0
e residences,nungambakkam,175.0,600,1,1
babu flats,"rose nagar, kovilambakkam",94.7,1160,3,0
babu flats,kovilambakkam,93.65,1165,3,0
babu flats,"rose nagar, kovilambakkam",110.00000000000001,1218,3,0
partha enclave,kattupakkam,47.65,548,1,0
on request,kattupakkam,47.69,548,1,0
on request,chromepet,96.01,910,2,0
ayana 95,ayanambakkam,103.0,1238,3,0
babu residency,"rose nagar, kovilambakkam",95.17,1236,3,0
lakshmi nivas,madambakkam,77.92,1163,3,0
on request,anna nagar west,280.0,1471,3,0
coralbay,thiruvanmiyur,286.0,1525,3,0
mahalaxmi nagar,mangadu,52.0,600,2,0
alankar horizon,selaiyur,110.00000000000001,1730,3,0
alankar horizon,tambaram,108.0,1560,3,0
alankar horizon,tambaram,73.46,1150,2,0
alankar horizon,medavakkam,108.0,1600,3,0
agaram then,"agaramthen, vandalur kelambakkam road",119.0,1163,3,0
alankar horizon,selaiyur,108.0,1600,3,0
orchid garden,old perungalathur,75.76,1457,3,0
xs real siena,padur,98.5,1790,2,0
new flat,ayyapakkam,58.82,1074,2,0
new flat,ayyapakkam,58.85,1072,2,0
new flat,ayyapakkam,53.95,931,2,0
new flat,ayanambakkam,56.2,969,2,0
new flat,ayyapakkam,58.0,1000,2,0
new flat,ayanambakkam,83.51,1440,3,0
apartment,velachery,118.0,1275,3,0
on request,"vengaivasal, medavakkam",79.8,1331,2,0
navganesh eminent,"veeraragahavalu nagar, lakshmipuram",55.69,884,2,0
lakshmi nivas,madambakkam,69.48,1037,2,0
ayana 95,ayanambakkam,58.0,632,1,0
on request,"dy,  south",409.99999999999994,1894,3,0
adore new flat,madipakkam,122.0,1475,3,0
"sai phaadham ,new flat",poonamallee,69.9,996,2,0
"mukesh krrthi homes,new",iyyappanthangal,69.95,1187,3,0
on request,ayanambakkam,109.00000000000001,1238,2,0
